gender,age,study_hours_per_week,attendance_rate,parent_education,internet_access,extracurricular,previous_score,final_score,passed
0,16.0,21.0,78.5,4,1,0,66,59,1
0,19.0,21.0,82.7,4,0,0,57,68,1
0,16.0,23.0,54.2,3,0,1,60,68,1
0,16.0,27.0,60.0,2,1,1,90,80,1
1,18.0,15.0,94.3,3,1,0,93,66,1
1,16.0,22.0,84.4,2,0,1,52,78,1
0,15.0,19.0,62.5,2,0,1,89,71,1
0,18.0,21.0,90.8,3,0,0,50,76,1
0,18.0,10.0,87.6,3,0,1,65,53,1
1,17.0,9.0,63.6,3,1,1,49,34,0
0,16.0,24.0,60.7,4,0,0,89,70,1
1,16.0,28.0,71.0,3,1,0,91,66,1
0,17.0,26.0,69.5,4,1,0,58,64,1
0,18.0,2.0,69.4,4,1,0,46,37,0
1,18.0,20.0,78.2,2,1,0,47,61,1
1,15.0,10.0,69.0,1,0,0,73,59,1
0,17.0,26.0,97.6,4,0,1,90,71,1
1,17.0,9.0,82.5,2,1,1,55,34,0
1,16.0,6.0,73.7,2,1,0,62,52,1
0,16.0,21.0,80.4,2,1,0,43,67,1
1,17.0,20.0,83.9,4,0,1,39,65,1
1,15.0,24.0,88.6,3,1,1,74,79,1
0,17.0,4.0,75.3,3,1,0,92,34,0
0,17.0,22.0,94.6,4,1,0,52,79,1
0,19.0,27.0,96.0,4,0,0,64,77,1
1,15.0,10.0,94.1,1,0,0,73,42,0
0,17.0,7.0,74.4,3,0,0,65,49,0
0,19.0,2.0,75.8,1,1,1,82,42,0
1,18.0,22.0,85.6,4,1,1,67,64,1
0,16.0,11.0,83.2,3,0,0,84,66,1
0,17.0,24.0,72.7,3,0,1,45,74,1
1,17.0,5.0,87.1,1,1,1,91,44,0
0,15.0,28.0,59.7,1,0,1,68,58,1
1,17.0,3.0,98.7,3,0,1,92,40,0
1,19.0,11.0,73.5,4,0,1,36,38,0
0,15.0,28.0,53.3,4,1,1,49,56,1
0,15.0,9.0,55.9,4,1,0,87,46,0
0,19.0,15.0,65.3,3,1,1,56,58,1
1,17.0,23.0,54.1,1,1,1,50,45,0
0,18.0,24.0,79.7,3,1,1,66,80,1
0,18.0,4.0,84.4,3,1,0,44,42,0
1,16.0,10.0,91.3,2,1,1,69,60,1
0,18.0,5.0,73.4,3,0,0,94,50,1
0,18.0,4.0,79.9,4,0,0,33,23,0
1,19.0,20.0,97.5,3,1,1,90,78,1
0,17.0,7.0,99.8,4,0,1,90,54,1
0,17.0,12.0,83.5,1,0,0,93,55,1
0,19.0,3.0,72.7,3,0,0,44,44,0
0,19.0,28.0,99.4,3,0,0,36,70,1
0,19.0,26.0,74.9,4,1,1,64,76,1
1,17.0,16.0,94.0,4,1,1,60,71,1
1,17.0,19.0,50.7,4,1,1,44,51,1
1,16.0,17.0,96.6,3,0,0,91,72,1
1,18.0,19.0,57.2,1,1,1,65,67,1
0,17.0,27.0,75.4,2,0,0,92,70,1
0,19.0,17.0,67.3,3,0,0,71,50,1
1,19.0,14.0,61.7,4,1,0,90,64,1
0,18.0,23.0,89.6,1,0,1,46,71,1
0,15.0,29.0,92.3,2,0,1,48,78,1
1,15.0,17.0,89.1,3,0,0,40,55,1
0,17.0,22.0,85.9,4,1,1,60,75,1
0,16.0,25.0,54.5,2,1,0,51,71,1
0,15.0,3.0,66.2,2,0,0,77,37,0
1,16.0,18.0,70.6,1,1,1,40,60,1
0,19.0,23.0,62.0,3,1,1,89,75,1
0,18.0,10.0,83.3,4,0,1,39,46,0
0,19.0,11.0,81.9,4,0,0,68,45,0
0,18.0,5.0,61.9,3,0,0,67,24,0
0,17.0,2.0,78.3,2,0,0,59,42,0
0,16.0,22.0,59.5,3,1,1,35,51,1
0,15.0,20.0,68.2,1,1,0,71,72,1
0,16.0,8.0,56.6,3,0,0,51,32,0
0,17.0,25.0,93.5,2,0,1,48,84,1
1,18.0,29.0,90.2,3,1,0,31,69,1
1,18.0,13.0,83.6,3,0,0,43,59,1
1,18.0,2.0,81.0,3,0,1,38,39,0
0,17.0,22.0,70.4,1,1,1,68,67,1
1,15.0,9.0,94.4,1,0,0,77,63,1
0,19.0,25.0,86.3,4,1,0,82,72,1
1,17.0,8.0,72.2,1,0,1,77,51,1
0,15.0,14.0,63.8,2,0,1,57,56,1
1,15.0,27.0,66.7,1,1,1,56,74,1
1,16.0,12.0,88.7,3,1,0,48,43,0
0,16.0,5.0,83.1,2,1,1,75,57,1
1,19.0,12.0,50.8,3,1,1,83,50,1
1,15.0,17.0,72.4,3,1,0,94,58,1
1,19.0,11.0,72.9,2,1,0,81,52,1
1,18.0,24.0,95.5,2,1,0,48,61,1
1,17.0,21.0,81.7,3,0,0,67,68,1
0,15.0,27.0,85.1,3,1,0,87,75,1
0,17.0,28.0,72.7,4,1,0,84,75,1
0,17.0,6.0,84.3,4,1,1,40,29,0
0,15.0,25.0,86.9,1,1,0,45,70,1
0,18.0,29.0,95.8,2,0,0,75,75,1
1,16.0,23.0,74.1,2,0,0,44,74,1
0,19.0,9.0,90.4,3,1,0,33,37,0
0,17.0,12.0,67.6,1,1,0,38,34,0
1,15.0,25.0,76.5,4,0,0,73,65,1
0,17.0,25.0,66.2,3,1,1,49,57,1
1,15.0,10.0,72.2,4,0,0,83,46,0
1,19.0,5.0,67.3,2,0,0,69,27,0
1,18.0,21.0,52.7,1,0,1,47,65,1
0,17.0,12.0,56.0,4,0,1,46,41,0
1,19.0,19.0,91.7,3,1,0,35,61,1
1,18.0,4.0,93.1,3,0,0,83,44,0
1,18.0,2.0,98.3,1,0,0,41,38,0
1,16.0,15.0,79.4,3,1,0,69,68,1
0,16.0,12.0,89.0,2,1,1,74,55,1
1,16.0,5.0,57.3,1,1,1,39,22,0
0,18.0,26.0,78.2,3,0,0,70,65,1
0,15.0,17.0,72.1,3,0,1,75,63,1
1,17.0,16.0,72.6,2,0,0,39,58,1
1,19.0,21.0,75.4,4,1,0,54,59,1
0,19.0,6.0,97.9,4,1,0,40,47,0
1,15.0,9.0,85.4,4,1,0,77,48,0
0,18.0,26.0,66.9,3,1,0,38,61,1
1,19.0,23.0,69.3,3,1,0,40,66,1
1,17.0,11.0,98.4,4,1,1,69,61,1
0,17.0,28.0,56.4,3,1,0,95,73,1
1,17.0,11.0,59.0,1,0,0,54,37,0
1,16.0,4.0,64.8,2,1,0,46,38,0
0,16.0,7.0,59.0,3,1,0,35,33,0
0,16.0,16.0,80.5,4,1,1,69,71,1
0,16.0,13.0,83.9,3,0,0,66,66,1
0,19.0,18.0,70.9,1,1,1,62,46,0
0,17.0,19.0,96.7,3,1,0,40,74,1
1,17.0,16.0,95.3,1,0,1,58,63,1
0,15.0,15.0,52.7,3,0,1,79,41,0
0,16.0,2.0,65.9,2,0,1,47,20,0
0,18.0,24.0,91.6,4,0,1,40,56,1
0,16.0,28.0,57.5,3,0,1,66,64,1
0,15.0,3.0,61.9,3,0,1,44,31,0
1,19.0,20.0,62.1,1,0,0,30,58,1
0,16.0,20.0,70.8,2,0,1,94,80,1
1,18.0,29.0,73.5,4,0,0,32,67,1
1,17.0,9.0,86.6,2,0,1,35,42,0
0,16.0,28.0,89.0,4,0,1,47,65,1
0,15.0,11.0,60.1,1,1,0,69,49,0
0,19.0,17.0,62.7,1,0,0,36,56,1
0,17.0,5.0,90.0,4,0,0,79,45,0
1,18.0,24.0,74.9,3,0,1,84,62,1
0,19.0,28.0,59.0,3,0,1,40,62,1
0,17.0,16.0,80.1,4,1,0,74,61,1
1,17.0,21.0,99.9,3,1,1,81,73,1
1,15.0,6.0,92.4,4,1,1,38,36,0
0,17.0,14.0,97.5,2,1,0,77,61,1
0,15.0,20.0,56.9,3,0,0,65,52,1
1,15.0,25.0,59.3,3,0,1,63,76,1
0,18.0,8.0,99.8,3,0,1,45,39,0
1,18.0,7.0,94.9,4,1,0,74,60,1
1,19.0,19.0,64.5,3,1,1,76,64,1
1,15.0,8.0,89.6,1,0,1,76,56,1
0,18.0,27.0,99.2,1,1,1,69,81,1
0,19.0,15.0,88.5,3,1,1,70,68,1
1,18.0,16.0,84.0,3,1,1,46,56,1
1,15.0,18.0,57.7,1,1,0,58,51,1
0,15.0,10.0,59.8,3,0,1,68,50,1
1,19.0,22.0,58.4,3,1,1,73,68,1
1,15.0,4.0,52.3,3,0,1,83,42,0
1,18.0,30.0,81.4,3,0,0,61,91,1
0,17.0,16.0,53.6,2,1,0,83,56,1
0,16.0,12.0,80.3,3,0,0,81,47,0
0,19.0,19.0,55.3,1,0,1,64,56,1
1,16.0,5.0,52.5,4,0,1,50,28,0
0,16.0,26.0,58.0,3,0,0,69,70,1
1,15.0,14.0,75.3,1,1,0,36,36,0
0,18.0,21.0,94.1,4,0,1,43,66,1
1,17.0,25.0,68.3,4,0,1,81,60,1
1,17.0,19.0,64.4,4,0,0,45,45,0
1,18.0,13.0,89.7,3,0,1,55,61,1
0,19.0,3.0,52.3,1,0,0,88,26,0
1,17.0,21.0,65.9,4,0,0,94,71,1
0,19.0,11.0,73.7,2,0,0,44,45,0
0,15.0,21.0,73.7,3,1,1,91,61,1
0,16.0,28.0,84.0,2,1,1,32,72,1
0,18.0,6.0,70.6,1,0,0,37,44,0
1,19.0,8.0,78.0,4,0,0,52,44,0
0,19.0,13.0,83.8,3,0,1,61,49,0
0,16.0,11.0,88.6,1,0,0,91,57,1
0,17.0,5.0,78.7,3,0,0,74,54,1
1,17.0,3.0,64.4,2,0,0,62,44,0
0,16.0,8.0,91.4,3,0,1,43,52,1
1,16.0,3.0,83.5,3,1,1,36,24,0
0,17.0,24.0,73.6,1,1,1,82,79,1
0,18.0,22.0,60.0,3,0,0,37,67,1
1,19.0,9.0,76.8,2,1,0,52,32,0
0,18.0,7.0,96.8,3,1,1,68,56,1
1,17.0,11.0,72.7,3,0,1,94,56,1
0,16.0,27.0,55.6,1,0,0,53,52,1
0,17.0,20.0,83.7,1,1,0,84,72,1
0,15.0,14.0,83.5,1,1,0,71,52,1
1,17.0,14.0,61.8,3,0,0,31,38,0
0,16.0,3.0,83.4,4,0,1,81,51,1
0,15.0,22.0,95.8,3,0,1,58,62,1
0,16.0,16.0,87.4,3,0,0,90,77,1
1,16.0,23.0,87.7,2,0,0,39,71,1
1,15.0,28.0,77.4,3,1,1,51,70,1
0,15.0,23.0,60.3,3,0,1,95,70,1
1,18.0,6.0,75.7,4,1,0,69,53,1
1,18.0,10.0,90.8,1,1,1,84,55,1
1,19.0,3.0,96.7,2,0,1,66,44,0
1,16.0,26.0,82.1,4,0,0,87,78,1
0,15.0,23.0,98.2,3,1,0,45,62,1
0,19.0,6.0,86.4,1,1,1,68,47,0
0,19.0,14.0,91.2,1,0,0,49,51,1
1,15.0,3.0,90.5,4,1,1,56,29,0
1,19.0,3.0,72.3,2,1,1,81,41,0
1,19.0,8.0,87.7,2,1,0,59,58,1
0,19.0,21.0,88.6,3,1,0,48,73,1
1,18.0,11.0,63.8,3,1,0,93,40,0
0,18.0,27.0,76.2,4,0,1,68,73,1
1,19.0,17.0,62.0,1,0,1,89,47,0
0,18.0,19.0,76.5,4,1,0,56,57,1
1,18.0,29.0,68.6,3,1,1,64,73,1
1,15.0,8.0,90.2,3,1,0,56,45,0
0,15.0,8.0,96.9,2,0,1,56,49,0
1,19.0,12.0,88.8,4,0,0,69,51,1
0,19.0,30.0,74.9,2,0,0,56,74,1
0,18.0,3.0,78.1,1,1,1,63,42,0
0,17.0,6.0,59.8,1,0,1,93,47,0
0,17.0,26.0,91.1,4,0,1,75,71,1
1,19.0,17.0,59.2,3,1,1,39,57,1
1,15.0,15.0,56.9,1,1,1,31,36,0
0,17.0,3.0,80.9,3,0,0,32,20,0
0,15.0,2.0,76.5,3,0,1,94,51,1
0,16.0,5.0,95.9,3,1,1,54,51,1
0,17.0,10.0,89.7,2,0,0,88,62,1
1,16.0,11.0,84.2,2,1,1,81,54,1
0,19.0,17.0,52.8,2,1,1,93,57,1
0,19.0,29.0,98.7,3,1,1,57,91,1
0,17.0,3.0,96.2,3,1,1,70,32,0
1,19.0,6.0,87.6,4,1,0,50,48,0
1,19.0,28.0,92.5,3,0,0,47,89,1
1,19.0,25.0,98.7,2,1,0,59,65,1
0,19.0,26.0,80.7,3,0,0,33,74,1
0,18.0,17.0,61.4,3,0,0,53,60,1
0,15.0,26.0,80.9,1,1,1,64,65,1
0,16.0,25.0,69.5,3,1,1,30,58,1
0,17.0,26.0,63.5,1,1,1,85,74,1
0,15.0,2.0,54.5,3,1,0,79,20,0
0,18.0,14.0,89.0,3,1,1,78,53,1
1,17.0,11.0,63.4,1,1,1,85,45,0
0,17.0,17.0,89.1,3,0,1,93,74,1
1,18.0,5.0,56.8,2,0,0,78,50,1
0,18.0,12.0,71.5,3,1,0,71,57,1
1,18.0,12.0,58.9,4,0,0,92,57,1
1,17.0,14.0,64.0,4,0,1,55,54,1
1,19.0,2.0,97.7,4,1,0,67,52,1
1,18.0,23.0,75.0,3,1,0,49,73,1
0,18.0,4.0,72.5,3,0,0,94,53,1
0,19.0,3.0,89.5,3,1,1,61,49,0
0,16.0,22.0,80.6,3,0,0,85,62,1
1,15.0,10.0,61.1,3,1,0,77,45,0
0,19.0,24.0,75.0,3,1,0,43,61,1
0,15.0,5.0,91.6,1,0,0,73,48,0
1,19.0,17.0,67.4,2,0,0,70,46,0
0,15.0,27.0,85.5,2,0,1,51,84,1
1,19.0,7.0,77.6,3,0,0,59,55,1
0,16.0,7.0,82.0,4,0,1,55,45,0
0,18.0,2.0,85.2,1,0,1,43,47,0
1,17.0,12.0,59.9,2,0,0,70,53,1
0,19.0,14.0,79.4,3,0,0,52,61,1
0,19.0,20.0,54.2,1,0,1,60,52,1
1,16.0,13.0,84.7,3,0,0,47,57,1
0,18.0,7.0,74.3,3,1,1,92,45,0
1,16.0,12.0,92.1,3,1,0,31,51,1
1,16.0,28.0,69.2,3,0,0,92,79,1
0,18.0,7.0,54.1,2,1,0,34,26,0
1,19.0,11.0,58.4,4,0,1,44,35,0
0,19.0,28.0,87.8,4,1,0,43,84,1
1,17.0,29.0,100.0,4,0,0,41,80,1
1,16.0,8.0,90.5,3,0,0,51,53,1
1,16.0,28.0,60.3,2,0,0,51,65,1
0,17.0,20.0,63.4,3,1,1,82,51,1
0,16.0,24.0,93.3,1,1,0,61,85,1
0,18.0,6.0,78.9,3,0,0,87,37,0
1,18.0,18.0,87.5,3,0,0,71,70,1
1,15.0,25.0,98.6,3,1,0,57,76,1
1,18.0,10.0,66.1,3,0,1,92,63,1
0,15.0,3.0,55.0,4,1,1,50,30,0
0,15.0,15.0,60.1,1,0,1,65,40,0
0,17.0,4.0,68.6,1,1,0,69,48,0
1,18.0,22.0,54.6,2,1,1,91,54,1
1,19.0,9.0,76.0,4,1,1,73,38,0
0,16.0,17.0,53.5,4,1,1,43,45,0
0,17.0,6.0,69.1,1,1,1,31,39,0
1,18.0,13.0,86.1,1,0,0,57,43,0
1,16.0,26.0,56.2,4,0,0,70,79,1
1,16.0,10.0,82.2,1,0,1,68,44,0
1,18.0,11.0,82.3,1,0,0,44,41,0
0,19.0,4.0,76.4,2,0,0,46,35,0
0,17.0,19.0,84.1,4,1,1,38,46,0
0,16.0,3.0,96.1,4,0,0,84,57,1
0,15.0,22.0,76.8,3,1,0,40,58,1
1,19.0,8.0,98.7,1,0,0,38,43,0
0,16.0,3.0,62.2,4,1,0,37,24,0
1,15.0,2.0,85.4,2,1,0,74,44,0
0,16.0,13.0,56.3,3,1,1,72,60,1
0,17.0,18.0,53.2,3,1,0,88,61,1
0,15.0,17.0,93.0,1,0,1,62,74,1
1,19.0,23.0,86.1,1,1,1,31,58,1
1,18.0,13.0,69.1,1,1,1,83,48,0
0,16.0,15.0,95.8,3,0,1,77,54,1
1,16.0,9.0,90.2,2,0,1,89,52,1
0,17.0,4.0,77.7,2,0,1,67,45,0
0,19.0,9.0,73.2,3,0,1,61,36,0
1,18.0,2.0,61.6,3,1,0,30,36,0
0,17.0,5.0,60.3,1,0,0,37,21,0
0,15.0,3.0,96.1,3,0,0,88,58,1
1,19.0,5.0,75.3,4,1,1,85,53,1
1,16.0,11.0,63.0,3,0,0,70,48,0
0,16.0,4.0,97.2,1,1,1,43,33,0
0,18.0,12.0,70.3,3,0,1,87,50,1
0,17.0,29.0,56.0,1,0,1,57,66,1
1,15.0,24.0,62.4,3,0,1,68,61,1
1,15.0,14.0,92.7,3,1,1,89,54,1
1,15.0,2.0,53.1,1,1,1,81,31,0
1,19.0,20.0,62.9,2,1,1,55,64,1
0,16.0,4.0,95.3,3,1,1,89,38,0
1,19.0,15.0,91.1,4,0,1,78,71,1
0,16.0,13.0,60.7,1,0,0,87,44,0
1,19.0,21.0,80.8,3,0,0,91,59,1
1,17.0,14.0,56.9,1,1,1,78,63,1
0,18.0,19.0,89.1,3,0,0,64,58,1
1,17.0,21.0,61.0,3,1,0,75,73,1
1,16.0,5.0,62.4,1,0,1,58,40,0
0,17.0,28.0,99.6,1,1,1,70,95,1
0,19.0,2.0,85.2,3,1,1,93,49,0
0,16.0,17.0,51.9,2,1,1,32,48,0
0,15.0,12.0,95.9,1,1,0,52,67,1
0,15.0,2.0,57.4,1,1,0,39,24,0
0,19.0,5.0,66.8,3,1,1,85,54,1
0,17.0,7.0,85.4,3,0,1,52,43,0
0,17.0,6.0,58.9,2,0,1,53,41,0
0,19.0,9.0,82.0,2,0,1,72,60,1
1,16.0,13.0,99.1,1,1,0,87,51,1
0,16.0,9.0,84.7,3,0,1,30,30,0
0,18.0,25.0,71.0,1,0,0,78,70,1
0,15.0,28.0,74.0,3,1,1,87,68,1
1,17.0,2.0,65.9,2,1,0,51,29,0
1,15.0,19.0,97.1,2,0,0,33,62,1
1,19.0,30.0,71.7,2,1,0,56,68,1
0,19.0,25.0,96.3,3,0,0,68,71,1
1,15.0,14.0,78.6,4,1,1,76,44,0
0,15.0,11.0,91.2,3,0,1,42,37,0
1,16.0,22.0,64.6,2,0,1,69,76,1
0,18.0,17.0,94.7,3,1,0,53,60,1
0,17.0,7.0,72.3,3,0,0,63,36,0
0,19.0,3.0,57.6,2,1,0,82,47,0
1,19.0,3.0,92.0,3,0,0,60,44,0
0,15.0,14.0,95.1,2,1,1,87,56,1
1,16.0,27.0,59.6,2,0,1,85,66,1
1,19.0,10.0,66.0,2,1,0,80,52,1
0,17.0,18.0,72.9,2,0,1,83,54,1
1,19.0,20.0,79.1,2,1,1,66,68,1
0,18.0,10.0,69.2,4,0,1,52,39,0
0,16.0,21.0,80.4,4,1,0,72,77,1
1,15.0,25.0,73.8,3,0,1,73,84,1
0,17.0,10.0,92.1,2,1,1,68,64,1
0,17.0,10.0,86.4,3,1,1,86,49,0
0,18.0,26.0,75.8,3,1,1,38,63,1
0,16.0,26.0,92.6,3,1,1,54,68,1
1,16.0,3.0,72.8,3,1,0,77,40,0
0,15.0,23.0,51.5,3,0,0,52,60,1
0,17.0,7.0,91.9,3,1,0,33,41,0
1,16.0,29.0,78.6,1,1,1,56,71,1
0,19.0,2.0,93.2,2,0,1,52,45,0
1,16.0,10.0,80.4,3,0,0,78,50,1
0,17.0,8.0,73.3,3,0,1,30,40,0
0,19.0,22.0,79.7,3,0,1,91,62,1
0,17.0,22.0,66.3,3,0,0,54,52,1
1,15.0,27.0,92.9,3,0,0,47,85,1
1,18.0,11.0,63.0,4,0,0,34,45,0
1,17.0,25.0,85.7,3,0,0,94,76,1
1,19.0,7.0,64.7,4,1,0,53,46,0
0,15.0,9.0,67.8,3,0,0,77,42,0
0,18.0,29.0,55.9,2,1,0,54,72,1
1,18.0,18.0,64.9,2,1,1,55,52,1
0,19.0,30.0,95.3,4,1,0,53,93,1
1,18.0,12.0,81.6,1,0,1,30,47,0
0,16.0,26.0,88.7,3,1,0,41,62,1
0,18.0,14.0,71.5,4,0,1,34,51,1
1,17.0,2.0,94.6,3,1,1,30,42,0
1,16.0,24.0,93.8,3,1,1,79,80,1
0,16.0,4.0,91.2,3,0,0,73,45,0
1,17.0,30.0,74.5,1,1,0,32,65,1
1,16.0,8.0,86.7,3,1,1,76,60,1
1,18.0,30.0,82.0,3,1,1,43,83,1
1,15.0,24.0,55.8,4,0,1,62,65,1
1,16.0,24.0,84.3,2,0,0,42,75,1
0,19.0,21.0,85.0,4,1,1,66,58,1
1,18.0,8.0,80.5,3,1,0,82,46,0
1,15.0,19.0,74.8,1,0,0,60,47,0
1,15.0,5.0,91.8,4,1,1,95,41,0
1,17.0,22.0,61.6,3,0,0,36,46,0
1,15.0,29.0,64.5,3,0,1,42,80,1
1,15.0,29.0,56.9,1,0,0,86,81,1
0,15.0,13.0,90.7,1,1,0,81,61,1
0,18.0,24.0,92.5,4,1,1,46,79,1
1,16.0,5.0,70.8,3,0,0,53,43,0
0,17.0,21.0,51.4,1,0,0,44,53,1
0,15.0,4.0,63.1,3,1,1,73,40,0
1,18.0,23.0,86.3,4,0,0,49,72,1
1,15.0,22.0,96.7,3,0,0,51,59,1
0,17.0,9.0,66.5,3,1,1,78,46,0
1,15.0,16.0,72.2,3,0,1,93,63,1
0,15.0,17.0,87.3,2,1,0,82,54,1
1,15.0,27.0,80.2,3,0,1,88,77,1
0,15.0,28.0,61.1,4,0,0,76,82,1
0,15.0,5.0,88.0,1,1,0,75,53,1
0,19.0,18.0,68.7,2,1,1,93,55,1
0,15.0,10.0,80.5,1,1,0,57,49,0
1,17.0,5.0,87.9,2,1,0,88,57,1
1,18.0,2.0,76.5,2,0,0,95,53,1
1,19.0,7.0,86.5,1,1,0,71,51,1
0,18.0,21.0,95.8,1,0,0,73,68,1
0,16.0,6.0,70.6,3,0,0,57,32,0
1,19.0,24.0,64.5,3,1,1,94,76,1
0,15.0,26.0,67.6,4,0,0,84,86,1
1,19.0,5.0,51.3,1,1,1,55,26,0
1,17.0,23.0,62.5,2,0,1,34,56,1
0,15.0,21.0,93.4,3,1,0,60,72,1
0,15.0,14.0,69.4,3,1,1,62,45,0
0,16.0,22.0,85.2,3,1,1,67,70,1
1,15.0,7.0,98.1,3,1,0,35,44,0
0,19.0,10.0,56.5,3,0,1,72,45,0
1,15.0,6.0,96.4,3,1,0,92,66,1
0,15.0,27.0,85.4,3,1,1,38,83,1
1,18.0,19.0,76.9,2,0,1,57,68,1
0,17.0,13.0,64.7,3,0,1,44,53,1
0,18.0,9.0,95.2,3,1,1,71,53,1
1,18.0,10.0,77.0,3,1,0,95,67,1
0,18.0,3.0,64.8,1,0,1,42,22,0
1,15.0,8.0,83.5,1,0,1,56,50,1
0,15.0,25.0,84.3,2,0,0,34,56,1
1,15.0,7.0,89.7,3,1,1,63,48,0
0,18.0,22.0,70.2,3,1,0,45,65,1
1,19.0,4.0,87.8,3,1,1,75,48,0
1,17.0,27.0,84.3,3,1,0,86,79,1
0,15.0,17.0,57.8,1,1,0,67,61,1
1,17.0,23.0,94.3,3,1,1,45,57,1
1,19.0,21.0,69.7,3,1,0,56,71,1
0,16.0,15.0,95.3,3,1,1,53,53,1
0,16.0,5.0,59.1,3,1,0,39,27,0
1,17.0,5.0,59.9,3,0,0,75,29,0
1,15.0,11.0,81.0,1,0,0,87,53,1
0,19.0,6.0,78.3,3,0,0,51,27,0
0,16.0,27.0,61.1,4,0,0,47,74,1
0,18.0,16.0,72.3,3,0,1,52,61,1
1,17.0,29.0,91.3,3,1,0,39,86,1
1,15.0,29.0,75.4,2,0,1,34,74,1
